clause,document,title,severity,insertion,reach_pct,recorded,evidence_band,tension,evidence,decision,note
"consent_adopt","consent","Adoption of Governing Documents","critical","auto","68.6","drafting","evidence-authority","dangerous","names-an-agency","",""
"gov_formation","governance","Formation and Term","critical","auto","68.6","drafting","evidence-authority","dangerous","names-an-agency","",""
"fq_statement","foreign-qualification","Application for Authority","critical","auto","52.0","drafting","evidence-authority","dangerous","names-an-agency","",""
"cal_ein","compliance-calendar","EIN and Tax Registration","recommended","auto","68.6","drafting","evidence-authority","dangerous","names-an-agency","",""
"consent_ein","consent","Tax Identification","recommended","auto","68.6","drafting","evidence-authority","dangerous","names-an-agency","",""
"cal_payroll","compliance-calendar","Payroll Tax Deposits and Filings","critical","suggest","39.0","drafting","evidence-authority","dangerous","names-an-agency","",""
"msa_breach_notify","msa","Security Incident Notification","critical","auto","8.9","authority","conflicting","ambiguous","appeals-to-law; two-party-labels","",""
"dpa_deletion","dpa","Return and Deletion","critical","auto","8.9","authority","conflicting","ambiguous","appeals-to-law; two-party-labels","",""
"nda_return","nda","Return or Destruction","recommended","auto","17.8","authority","conflicting","ambiguous","appeals-to-law; parties-agree","",""
"dpa_assistance","dpa","Data Subject Requests","recommended","auto","8.9","authority","conflicting","ambiguous","appeals-to-law; two-party-labels","",""
"sh_return_property","*","Return of Property","recommended","suggest","0.0","drafting","conflicting","ambiguous","appeals-to-law; parties-agree","",""
"msa_marks","msa","Publicity and Trademarks","optional","suggest","17.8","authority","conflicting","ambiguous","appeals-to-law; two-party-labels","",""
"charter_name","charter","Name","critical","auto","68.6","drafting","no-evidence","unevidenced","","",""
"charter_purpose","charter","Purpose","critical","auto","68.6","authority","no-evidence","unevidenced","","",""
"charter_agent","charter","Registered Office and Agent","critical","auto","68.6","drafting","no-evidence","unevidenced","","",""
"cal_annual_report","compliance-calendar","Annual Report and Registered Agent","critical","auto","68.6","drafting","no-evidence","unevidenced","","",""
"gov_units","governance","Ownership Interests","critical","auto","68.6","drafting","no-evidence","unevidenced","","",""
"sched_a_ownership","schedules","Schedule A — Ownership, Contributions, and Notice Addresses","critical","auto","68.6","drafting","no-evidence","unevidenced","","",""
"ipa_assign","ip-assignment","Assignment of Inventions","critical","auto","58.7","drafting","no-evidence","unevidenced","","",""
"ipa_wfh","ip-assignment","Work Made For Hire","critical","auto","58.7","authority","no-evidence","unevidenced","","",""
"vest_schedule","vesting","Vesting Schedule","critical","auto","58.7","drafting","no-evidence","unevidenced","","",""
"vest_repurchase","vesting","Repurchase Right","critical","auto","58.7","drafting","no-evidence","unevidenced","","",""
"cal_foreign","compliance-calendar","Foreign Qualification","critical","auto","52.0","authority","no-evidence","unevidenced","","",""
"fq_agent","foreign-qualification","In-State Registered Agent","critical","auto","52.0","drafting","no-evidence","unevidenced","","",""
"fq_goodstanding","foreign-qualification","Certificate of Good Standing","critical","auto","52.0","drafting","no-evidence","unevidenced","","",""
"emp_atwill","employment","At-Will Employment","critical","auto","39.0","drafting","no-evidence","unevidenced","","",""
"emp_classification","employment","Classification","critical","auto","39.0","drafting","no-evidence","unevidenced","","",""
"emp_i9","employment","Work Authorization","critical","auto","39.0","authority","no-evidence","unevidenced","","",""
"gov_voting","governance","Management and Voting","critical","auto","34.3","drafting","no-evidence","unevidenced","","",""
"gov_board","governance","Board of Directors","critical","auto","34.3","drafting","no-evidence","unevidenced","","",""
"msa_liability_carveouts","msa","Exclusions from the Cap","critical","auto","17.8","drafting","no-evidence","unevidenced","","",""
"nda_exclusions","nda","Exclusions","critical","auto","17.8","drafting","no-evidence","unevidenced","","",""
"prop_scope_blank","proposal","What Is Proposed","critical","auto","17.8","drafting","no-evidence","unevidenced","","",""
"prop_investment","proposal","Investment","critical","auto","17.8","drafting","no-evidence","unevidenced","","",""
"dpa_scope","dpa","Subject Matter and Categories","critical","auto","8.9","drafting","no-evidence","unevidenced","","",""
"consent_officers","consent","Appointment of Officers","recommended","auto","68.6","drafting","no-evidence","unevidenced","","",""
"consent_bank","consent","Banking Resolution","recommended","auto","68.6","drafting","no-evidence","unevidenced","","",""
"gov_quorum","governance","Meetings and Quorum","recommended","auto","68.6","drafting","no-evidence","unevidenced","","",""
"gov_written_consent","governance","Action by Written Consent","recommended","auto","68.6","drafting","no-evidence","unevidenced","","",""
"gov_fiduciary","governance","Standard of Care","recommended","auto","68.6","drafting","no-evidence","unevidenced","","",""
"gov_books","governance","Books and Records","recommended","auto","68.6","drafting","no-evidence","unevidenced","","",""
"gov_dissolution","governance","Dissolution","recommended","auto","68.6","drafting","no-evidence","unevidenced","","",""
"ea_position","employment-agreement","Position and Duties","critical","auto","8.7","drafting","no-evidence","unevidenced","","",""
"ea_compensation","employment-agreement","Compensation","critical","auto","8.7","drafting","no-evidence","unevidenced","","",""
"ea_prior_obligations","employment-agreement","No Conflicting Obligations","critical","auto","8.7","drafting","no-evidence","unevidenced","","",""
"ea_termination","employment-agreement","Termination and Final Pay","critical","auto","8.7","drafting","no-evidence","unevidenced","","",""
"hb_welcome","handbook","Purpose and No-Contract Statement","critical","auto","8.7","drafting","no-evidence","unevidenced","","",""
"hb_i9","handbook","Work Authorization","critical","auto","8.7","authority","no-evidence","unevidenced","","",""
"hb_pay_schedule","handbook","Pay Schedule and Wage Statements","critical","auto","8.7","authority","no-evidence","unevidenced","","",""
"hb_timekeeping","handbook","Timekeeping","critical","auto","8.7","drafting","no-evidence","unevidenced","","",""
"hb_harassment","handbook","Anti-Harassment and Anti-Retaliation","critical","auto","8.7","drafting","no-evidence","unevidenced","","",""
"hb_leave_vacation","handbook","Vacation and PTO","critical","auto","8.7","authority","no-evidence","unevidenced","","",""
"hb_accommodation","handbook","Reasonable Accommodation","critical","auto","8.7","authority","no-evidence","unevidenced","","",""
"ic_scope","contractor-agreement","Services","critical","auto","4.5","authority","no-evidence","unevidenced","","",""
"ic_no_control","contractor-agreement","No Supervision or Integration","critical","auto","4.5","drafting","no-evidence","unevidenced","","",""
"ic_taxes","contractor-agreement","Taxes and Insurance","critical","auto","4.5","drafting","no-evidence","unevidenced","","",""
"ic_confidentiality","contractor-agreement","Confidentiality","critical","auto","4.5","authority","no-evidence","unevidenced","","",""
"svc_payment","svc","Payment","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"svc_ip","svc","Who Owns the Work","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"svc_term_end","svc","Ending This Agreement","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loa_what","loa","What We Agreed","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_exec_summary","businessplan","Executive Summary","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_financial_note","businessplan","Financial Projections","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"ipa_prior","ip-assignment","Prior Inventions","recommended","auto","58.7","drafting","no-evidence","unevidenced","","",""
"ipa_confidential","ip-assignment","Confidentiality","recommended","auto","58.7","authority","no-evidence","unevidenced","","",""
"ipa_further","ip-assignment","Further Assurances and Power of Attorney","recommended","auto","58.7","drafting","no-evidence","unevidenced","","",""
"vest_transfer","vesting","Restriction on Transfer of Unvested Interests","recommended","auto","58.7","authority","no-evidence","unevidenced","","",""
"lease_parties","lease","Parties and Premises","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"lease_term_12","lease","Term of the Tenancy","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_term_6","lease","Term of the Tenancy","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_term_24","lease","Term of the Tenancy","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_term_m2m","lease","Term of the Tenancy","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_rent","lease","Rent","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"lease_deposit","lease","Security Deposit","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_maintenance","lease","Maintenance and Repairs","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"note_promise","note","Promise to Pay","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"note_interest_yes","note","Interest","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"note_interest_no","note","Interest","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"note_repay_installments","note","Repayment","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"note_repay_lump","note","Repayment","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
